lemma	adverbs	cases	comparatives	short adjectives
abhazsky	A	A	B	C
absolutny	A	A	A	A
abstraktny	A	A	A	A
absurdny	A	A	A	A
adekvatny	A	A	A	A
administrativny	A	A	A	A
aerodinamičny	A	A	A	A
aeronavtičny	A	A	A	A
afektivny	A	A	A	A
afgansky	A	A	B	C
afrikansky	A	A	B	C
aglutinativny	A	A	A	A
agrarny	A	A	A	A
agresivny	A	A	A	A
agronomičny	A	A	A	A
akademičsky	A	A	B	C
akrobatsky	A	A	B	C
aksamitny	A	A	A	A
aksiaľny	A	A	A	A
aktivny	A	A	A	A
aktorsky	A	A	B	C
aktuaľny	A	A	A	A
akuratny	A	A	A	A
akustičny	A	A	A	A
akušersky	A	A	B	C
albansky	A	A	B	C
alegoričny	A	A	A	A
alergičny	A	A	A	A
alfabetičny	A	A	A	A
alkohoľny	A	A	A	A
alpijsky	A	A	B	C
alternativny	A	A	A	A
altruističny	A	A	A	A
aluminijevy	A	A	A	B
alveolarny	A	A	A	A
ambiciozny	A	A	A	A
ambivalentny	A	A	A	A
amerikansky	A	A	B	C
amoraľny	A	A	A	A
anahroničny	A	A	A	A
analitičny	A	A	A	A
anaľny	A	A	A	A
analogičny	A	A	A	A
anatomičny	A	A	A	A
anemičny	A	A	A	A
anglijskojęzyčny	A	A	A	A
anglijsky	A	A	B	C
anglosaksonsky	A	A	B	C
anonimny	A	A	A	A
antičny	A	A	A	A
antropologičny	A	A	A	A
apelacijny	A	A	A	A
apokaliptičny	A	A	A	A
aposteriorny	A	A	A	A
apriorny	A	A	A	A
arabsky	A	A	B	C
argentinsky	A	A	B	C
arhaičny	A	A	A	A
arheologičny	A	A	A	A
arhitekturny	A	A	A	A
arhivny	A	A	A	A
aristokratičny	A	A	A	A
arktičny	A	A	A	A
arměnsky	A	A	B	C
arogantny	A	A	A	A
artističny	A	A	A	A
asimetričny	A	A	A	A
astrologičny	A	A	A	A
astronomičny	A	A	A	A
atematičny	A	A	A	A
atlantičny	A	A	A	A
atletičny	A	A	A	A
atonaľny	A	A	A	A
atraktivny	A	A	A	A
autističny	A	A	A	A
avansovy	A	A	A	B
avarijny	A	A	A	A
avstralijsky	A	A	B	C
avstrijsky	A	A	B	C
avstro-vųgȯrsky	A	A	B	C
avtentičny	A	A	A	A
avtobiografičny	A	A	A	A
avtomatičny	A	A	A	A
avtomobiľny	A	A	A	A
avtonomny	A	A	A	A
avtoritarny	A	A	A	A
avtoritativny	A	A	A	A
avtoritetny	A	A	A	A
avtorsky	A	A	B	C
azijatsky	A	A	B	C
azotisty	A	A	A	B
azotny	A	A	A	A
aztečsky	A	A	B	C
azurny	A	A	A	A
babsky	A	A	B	C
bahamsky	A	A	B	C
balističny	A	A	A	A
balkansky	A	A	B	C
baltičsky	A	A	B	C
banaľny	A	A	A	A
baskijsky	A	A	B	C
basnjesloveny	A	A	A	B
basnjevy	A	A	A	B
baškirsky	A	A	B	C
bavarsky	A	A	B	C
bditeljny	A	A	A	A
bědny	A	A	A	A
bedreny	A	A	A	B
běgly	A	A	A	B
bělavy	A	A	A	B
belgijsky	A	A	B	C
bělobrådy	A	A	A	B
bělopery	A	A	A	B
bělorussky	A	A	B	C
bělovlåsy	A	A	A	B
bělozųby	A	A	A	B
běly	A	A	A	B
běsny	A	A	A	A
betonny	A	A	A	A
bezbarvny	A	A	A	A
bezbolěsny	A	A	A	A
bezbožny	A	A	A	A
bezbrådy	A	A	A	B
bezbrånny	A	A	A	A
bezčėstny	A	A	A	A
bezdětny	A	A	A	A
bezdomny	A	A	A	A
bezdȯnny	A	A	A	A
bezdrěvny	A	A	A	A
bezdušny	A	A	A	A
bezdyšny	A	A	A	A
bezglåvy	A	A	A	B
bezhvosty	A	A	A	B
bezhybny	A	A	A	A
bezimenny	A	A	A	A
bezizhodny	A	A	A	A
bezkarny	A	A	A	A
bezkolorny	A	A	A	A
bezkonėčny	A	A	A	A
bezkoristny	A	A	A	A
bezkostny	A	A	A	A
bezkrily	A	A	A	B
bezkrȯvny	A	A	A	A
bezlěsny	A	A	A	A
bezlistny	A	A	A	A
bezljudny	A	A	A	A
bezměrny	A	A	A	A
bezmȯlvny	A	A	A	A
bezmozgy	A	A	F	I
bezmytny	A	A	A	A
beznadějny	A	A	A	A
beznogy	A	A	F	B
bezolovny	A	A	A	A
bezopasny	A	A	A	A
bezpamętny	A	A	A	A
bezpartijny	A	A	A	A
bezpečny	A	A	A	A
bezpery	A	A	A	B
bezplatny	A	A	A	A
bezplodny	A	A	A	A
bezpokojny	A	A	A	A
bezposrědny	A	A	A	A
bezprecedentny	A	A	A	A
bezprěryvny	A	A	A	A
bezpričinny	A	A	A	A
bezprikladny	A	A	A	A
